순번,표제어,대분류,영문,설명,출처,출처1,중분류
3162,기업 개인간 상거래,기타,,☞ B2C(Business-to-Consumer),국방과학기술용어,국방과학기술용어사전,기타
3163,기업 부담금,사업/계약관리,Business Allotment,"개발비지원사업비 중 지역벤처센터지원금을 제외한 기업이 부담하는 금액을 의미하며, 현금으로만 계상한다.",방사청용어,"국방벤처개발비지원사업업무지침,  제정 2012.11. 05 (정책기획실-2068)",계약관리
3164,기업 정부간 상거래,기타,,☞ B2G(Business-to-Government),국방과학기술용어,국방과학기술용어사전,기타
3165,기업간 거래,기타,,☞ B2B(business-to-business),국방과학기술용어,국방과학기술용어사전,기타
3166,기업형 책임 운영 기관,정책/제도,Trading Fund Executive Agency,"책임 운영 기관 운영에 있어 기업과 같이 독립채산제 형태의 운용으로 기관의 활동을 더욱 상업적이고 경영적으로 하는 기관이다. 일반형 책임 운영 기관과는 달리 예산 계정이 상위 지원 부서와 결합되어 있지 않으며, 확실한 수입원을 가질 때 적합한 구조이다.",과학기술용어사전+국방부군수전력용어사전,,획득기획
3167,기업회계기준,기타,,「주식회사의 외부감사에 관한 법률」 제13조에 따른 회계처리기준을 말한다.,방위사업용어,방위사업청 용어 종합,기타
3168,기온,기타,Temperature,"태양의 직사 광선을 받지 않는 상태에서 대기의 온도. 기온은 열의 물리적 특성에 의해 변화하며 열은 높은 곳에서 낮은 곳으로 전달되는 특성이 있다. 이러한 현상은 크게 전도, 대류, 복사로 분류 설명될 수 있다. 대류는 물체 자체가 이동하면서 열을 전하는 것으로 공기와 물은 대류에 의해 열을 전한다. 즉 더운 공기는 위로 올라가고, 찬 공기는 아래로 내려오는 열의 이동 현상이 대류의 대표적인 예이다. 복사는 열이 열선의 형태로 다른 물체에 흡수되므로 그 물체를 따뜻하게 해 준다. 이는 태양 빛에 의해 지표면의 온도가 상승, 하강되는 원리이다. 이러한 기온은 화생 작용제의 지속 시간에 지대한 영향을 미친다.",국방과학기술용어,국방과학기술용어사전,기타
3169,기온 경도,기타,Temperature Gradient,"표면 경계층 내 대기 온도의 수직 분포에 의해 좌우되는 표면 공기층의 안정도. 표면 경계층은 지표면에서 인접해 있는 공기의 얇은 층이고 4~10m 높이에 있는 풍속계의 위치까지를 말한다. 공기의 안정도는 수직 기온 차로 나타내며, 지상 4m의 온도에서 지상 0.5m의 온도를 빼어서 결정하며, 세 가지 일반적인 형태는 역전(안정), 체감(불안정), 중립이다. ☜ 온도 기울기(溫度--)",국방과학기술용어,국방과학기술용어사전,기타
3170,기온감률,기타,Temperature Lapse Rate,"고도 상승에 따른 온도의 변화율로서, 대류권 내의 기온 감률은 약 6.5℃/㎞(표준 온도 체감율에 의한 온도 변화는 대략 1.000피트당 섭씨 2도씩 감소한다.",국방과학기술용어,국방과학기술용어사전,기타
3171,기자력,기타,Magnetomotive Force,"자기장에 의해서 발생된 힘. 코일에 흐르는 전류에 의해서 야기(惹起)된 기자력은 전류의 양과 권선(捲線, Coil) 수에 따라 결정되며 단위는 길버트(Gilbert)이다. ☜ MFF(Magnetomotive Force)",국방과학기술용어,국방과학기술용어사전,기타
3172,기저 대역,기타,Base Band,"특정 반송파를 변조하기 위해 사용되는 모든 신호에 의해 얻어지는 주파수 대역. 예를 들어, 텔레비전 전송에서 복합 화상 신호에 의해 점유되는 베이스밴드는 6MHz로 되어 있다. 또 반송 통신에서 변조된 모든 부반송파를 포함하는 주파수 대역 등도 베이스밴드라 한다. 데이터 전송에서 변조 전(또는 복조 후)의 신호, 즉 데이터 신호 그 자체를 베이스밴드 신호라 한다.",국방과학기술용어,국방과학기술용어사전,기타
3173,기저 저항,기타,,☞ 기저 항력(基底抗力),국방과학기술용어,국방과학기술용어사전,기타
3174,기저 항력,기타,Base Drag,핀이나 동체의 기저부에서 유동의 박리에 의해서 발생한 수직 압력에 의해 생기는 항력. ☜ 기저 저항(基底抵抗),국방과학기술용어,국방과학기술용어사전,기타
3175,기저대역변조,기타,Baseband Modulation,디지털 신호를 이용하여 디지털 정보를 단거리 전송 또는 반송파에 싣기 적합한 형태로 표현하는 방법.,국방과학기술용어,국방과학기술용어사전,기타
3176,기저대역전송,기타,Baseband Transmission,"보내려는 정보 신호를 변조하여 반송파에 실어서 전송하지 않고 직접 전송하는 방식. 주파수를 변경하지 않고 기저 대역 신호를 사용하여 그대로 전압이나 빛의 강도를 변환하여 전송하는 방식이다. 송신 회로와 수신 회로가 간단하지만, 하나의 전송로에 복수의 신호를 다중화할 수 없다. 비교적 단거리 전송에 많이 사용된다. 동축 케이블이나 연선(撚線)을 전송 매체로 하는 구내 정보 통신망(LAN) 등에 주로 사용된다.",국방과학기술용어,국방과학기술용어사전,기타
3177,기적 효과,기타,Whistle Effect,함정 또는 잠수함의 선체나 키의 이동에 의해 음의 고저가 달라지는 현상.,국방과학기술용어,국방과학기술용어사전,기타
3178,기점,기타,Basing Point,Starting Point; 총구의 중심점이며 탄도의 시작점. ☜ BP(Basing Point),국방과학기술용어,국방과학기술용어사전,기타
3179,기정 수직 투영 기선점,기타,,기선 탄도 정점을 탄도 기선에 수직으로 투영시킨 점.,국방과학기술용어,국방과학기술용어사전,기타
3180,기조력,기타,Tidal Force,달이나 태양과 같은 천체의 인력과 회전하는 지구의 원심력에 의해 지구상에서 조석(潮汐)을 일으키는 힘.,국방과학기술용어,국방과학기술용어사전,기타
3181,기존 단체,기타,,특정단체 중 수의계약 근거에 따라 전년도에 방위사업청에 납품실적이 있는 단체를 말한다.   가. 수의계약 대상단체 및 법적근거,방위사업용어,408 특정단체 수의계약 업무처리 지침,기타
3182,기존 부품(품목),사업/계약관리,Traditional Component(Item),초도 양산 이후 생산실적이 있는 품목을 말한다.,KIMA+방사청용어,510 방산물자 감손율 산정지침,계약관리
3183,기존부품품목,기타,,초도양산이후 생산실적이 있는 품목을 말한다.,방위사업용어,방위사업청 용어 종합,기타
3184,기종 결정,정책/제도,Determine Type,"시험평가, 협상결과 등을 근거로 대상무기체계 중 획득할 무기체계의 기종을 결정하는 것을 말한다.",KIMA+방사청용어,"290 절충교역지침서 (OFFSET PROGRAM GUIDELINES) - 511, 455와 동일하지 않은 부분",획득기획
3185,기종 결정 평가 요소,정책/제도,,"기종결정을 위한 평가요소는 비용요소와 비비용요소로 구분된다.  비용요소란 구매가격, 운영유지비, 지급일정, 비반복비용 환급, 보증조건 및 지급 이행조건 등 비용으로 환산될 수 있는 모든 요소를 말하며, 비비용요소는 비용요소 외에  무기체계 성능 및 절충교역조건 등 비용으로 환산할 수 없는 요소를 말한다.",KIMA,,분석평가
3186,기종 대표기,기타,Lead The Force,해당 기종 중 일정한 대수의 항공기에 대해 야전 운용을 통해 항공기 기종 특성 및 각 부분품이나 기골의 결함을 사전에 발췌하여 항공기 특성 및 정비 절차를 설정 /개선하기 위해 선정된 항공기. ☜ LTF(Lead The Force),국방과학기술용어,국방과학기술용어사전,기타
3187,기종별 감항인증 계획,정책/제도,,1.연구개발 사업 감항인증 추진 시 아래의 사항을 포함한 감항인증 계획을 말한다. (1) 사업개요 (2) 감항인증 개요    1) 감항인증 일정    2) 감항인증 조직 및 업무 (3) 단계별 감항인증 계획 (4) 기종별 감항인증기준안 및 적합성 검증방법(MOC)   (5) 안전비행(SOF) 계획   (6) 기종별 주요안전품목(CSI) 식별 계획   (7) 제한사항 및 지원 요구사항 2. 구매사업 감항인증 추진 시 아래의 사항을 포함한 감항인증 계획을 말한다. (1) 사업개요   (2) 감항인증 개요    1) 감항인증 일정    2) 감항인증 조직 및 업무   (3) 기본 형상에 대한 감항인증 관련 자료제출 계획 (4) 단계별 감항인증 계획   (5) 기종별 감항인증기준안 (6) 기종별 주요안전품목(CSI) 또는 식별 계획   (7) 제한사항 및 지원 요구사항,방사청용어,군용항공기 비행안전성 인증에 관한 업무규정('13.3.19개정),분석평가
3188,기종별 감항인증 기준,정책/제도,Tailored Airworthiness Certification Criteria,1. 표준감항인증기준 또는 승인된 기타 감항인증기준을 기초로 해당 군용항공기 사업의 특성에 맞게 작성한 감항인증기준을 말한다.  2. 형식인증 후 최종 확정된 기종별 감항인증기준은 군용항공기 수명주기 동안 유지 및 관리되어야 한다.  ☞ TACC(Tailored Airworthiness Certification Criteria),방사청용어,군용항공기 비행안전성 인증에 관한 업무규정('13.3.18개정),분석평가
3189,기준 가격,사업/계약관리,Base Price,표준 또는 계약 가격으로 부수비를 미포함하는 가격이다.,방사청용어,FMS 물자불출목록의 용어 설명,원가관리
3190,기준 감액률,사업/계약관리,Basic Reduction Rate,검사항목의 중요도 등급에 따라 부여된 비율로써 감액산정 시 기본이 되는 감액률을 말한다.,KIMA+방사청용어,국방전력발전업무 훈령,계약관리
3191,기준 교리,행정공통,Basic Doctrine,군사 기본 교리를 기초로 하여 인사·정보·작전·군수·기획·C4I체계 등 합동 참모 기능 체계에 따라 분류된 합동 교리를 말한다.,과학기술용어사전,,군사용어
3192,기준 년도,기타,Base Year,"목표 예산 연도 X년으로 표현하기도 하며, 국방 기획 관리 과정 중 기획 및 계획 수립 대상 기간 중의 최초 연도를 말함.",국방과학기술용어,국방과학기술용어사전,기타
3193,기준 물질,기타,,"장치의 교정, 측정 방법의 평가 또는 어떤 물질의 물성값을 부여하는 데에 사용할 수 있도록 그 특성치가 충분히 균질하고 잘 설정된 재료 또는 물질.",국방과학기술용어,국방과학기술용어사전,기타
3194,기준 미충족,정책/제도,Unmet Standards,개발시험평가 시 성능이 기술된 시험평가기준 혹은 결과를 충족하지 못할 때이다.,방사청용어,시험평가관리 업무지침서,분석평가
3195,기준 방향,기타,Bore sight,지향성 안테나의 물리적인 축. 지향성 안테나를 정렬하기 위해 이미 알고 있는 위치에서 고정된 대상이나 광학적 처리를 이용한다.,국방과학기술용어,국방과학기술용어사전,기타
3196,기준 배수 톤수,기타,Standard Displacement Tonnage,"군함을 건조한 후 병기, 탄약, 승조원, 식량 등 일체를 탑재하고 연료와 청수만을 적재하지 않은 상태에서의 배수 톤수.",국방과학기술용어,국방과학기술용어사전,기타
3197,기준 부대,기타,Base Unit,전술 작전에 있어서 이동 또는 기동의 계획 및 실시의 핵심이 되는 부대 또는 편성체.,국방과학기술용어,국방과학기술용어사전,기타
3198,기준 수준면,기타,Datum Level,"수심을 나타내는 기준이 되는 수면. 기준 해수면(基準海水面) 또는 수심 기준면(水深基準面)이라고도 한다. 해도 작성 및 항만 시설의 계획 설계 등을 위한 기준으로 사용되고 있으며, 그 수심은 (±)0.00m로 나타낸다. 우리나라는 바닷물이 해안선에 가장 적게 들어 왔을 때의 수면인 약최저 저조면(略最低低潮面 : approximation of mean lower low water level)을 기본 수준면으로 채택하고 있다. ☜ DL(Datum Level)",국방과학기술용어,국방과학기술용어사전,기타
3199,기준 수준점,사업/계약관리,Bench-Mark,수직 기준면의 참고로서 이용하도록 수심 기준면 및 평균 해수면으로부터 높이를 정확히 구해 놓은 고정된 물체나 표시. 일반적으로 검조주(tide staff)나 검조소 근처에 설치한다.,과학기술용어사전,,국방기술지원
3200,"기준 연도(목표예산연도, X년)",정책/제도,Base Year,"1. 경제성장 계산 및 비용 예측시에 고정가격 수준을 비교하기 위한 참고 기간이다. Base Year의 price level index는 1,000임 2. 국방기획관리 과정 중 기획 및 계획수립 대상 기간 중의 최초연도를 말한다.",방사청용어 국방부군수전력용어사전,FMS 물자불출목록의 용어 설명,기획조정
3201,기준 오차,기타,Datum Error Of A Measuring Instrument,계기를 점검하기 위하여 선정한 지정한 눈금치 또는 측정량의 지정한 값에서 그 계기의 오차.,국방과학기술용어,국방과학기술용어사전,기타
3202,기준 정밀 측정 표준 장비,전력지원체계,,1급 정밀 측정소에서 보유하며 1차 교정 검사 기관 또는 해외 기관으로부터 교정 및 검증된 한국군 정밀 측정의 기준이 되는 표준 장비를 말한다.,과학기술용어사전,,일반장비
3203,기준 준위,기타,Reference Level,"수중 음향에서 다른 음 준위와의 관계를 말할 수 있는 표준 준위. 흔히 사용되는 세 가지 기준 준위는 1 dyne/㎠, 0.0002 dyne/㎠, 10 dyne/㎠가 있다.",국방과학기술용어,국방과학기술용어사전,기타
3204,기준 충족,정책/제도,Criteria Satisfy,개발시험평가 시 성능이 기술된 시험평가 기준 혹은 결과를 만족하거나 초과 할 때를 말한다.,방사청용어,시험평가관리 업무지침서,분석평가
3205,기준 타원체,기타,Geodetic Ellipsoid / Reference Ellipsoid,"국가적인 차원에서 높은 정밀도로 실시하는 삼각 측량 등의 기준이 되는 지구 타원체. 지오이드에 가장 유사한 타원체로, 완만한 요철이 있는 지오이드와 달리 완전한 타원체이다. 같은 크기의 지구 타원체를 채용할 경우에도 위치의 결정법은 국가에 따라 다르다. 이것은 지구 타원체의 표면을 그 국가에서 결정한 평균 해수면에 가장 가까운 점을 지나도록 하기 때문이다. 준거 타원체라고도 한다. ☜ 준거 타원체(準據楕圓體), 측지 타원체(測地楕圓體), 표준 타원체(標準楕圓體)",국방과학기술용어,국방과학기술용어사전,기타
3206,기준 표준기,전력지원체계,Reference Standards,국가 측정표준 대표기관 또는 그와 동등한 수준의 측정표준 기관으로부터 소급을 받는 장비로 작업 표준기에 대해 측정표준을 제공한다. (군1급 정밀측정시험소 보유),방사청용어,"정밀측정장비 획득업무지침, 방위사업청 예규  제25호     (2012. 10. 26. 개정)",일반장비
3207,기준/기준선,사업/계약관리,Base Line,"기준선은 공식적으로 검토되고 합의한 규격 혹은 제품을 말하며, 이후 향후 개발을 위한 기초 역할을 한다. 이 기준선은 정부측 계약기관 검토와 승인을 요구하는 공식적인 변경통제 절차에 의해서만 변경될 수 있다. 기준선은 초기에 문서화되고 검증된 체계 수준의 요구사항과 제한사항들, 다음수준으로의 할당 혹은 지정된 사항, 그리고 계약서상의 작업기술서에 따라 승인된 모든 변경사항들이 해당된다. 일반적으로 기준선 요구사항은 체계기능검토(SFR)시에 승인된다. 특별히 기술적 기준선(Technical Baseline)은 다음과 같이 정의된다. 1. 기능 측면 (1) 기능 기준선(Functional Baseline)은 체계 수준의 요구사항 및 관련 설계 제한 요소들을 물리적 사항   또는 성능과 관련하여 검증하고 승인한 기준을 말한다. (2) 할당 / 지정된 사항 (3) 할당 기준선(Allocated Baseline)은 승인된 할당 형상의 물리적 계층구조를 말한다.  (4) 계층구조와 계약에 따라 승인된 모든 변경사항 속에서 초기에 문서화되고 검증 및 승인된 설계하고자 하는 개별 체계 제품의 기능 및 성능 요구사항 및 설계 제한사항을 말한다. (5) 각각의 구성품 혹은 컴퓨터 소프트웨어 항목에 대해 설계하고자 하는 모든 요구사항과 제한사항들에 대해 식별한 개별 문서 또는 구성품 혹은 컴퓨터 소프트웨어 항목의 개별적인 통합 그룹을 말한다. 2. 제품(최종품목 / 형상) (1) 제조되어야 할 개별 물리적 요소에 대한 제조 요구사항 (2) 개별적으로 설계되거나 혹은 시험되어져야 할 소프트웨어 코드 (3) 구매하고자하는 개별 물리적 요소, 부품, 혹은 물자의 구매 요구사항 (4) 하나 이상의 최종품목을 위해 배포된 기준선에 대해 문서화되고 승인된 설계 개정사항",KIMA+방사청용어,기술관리업무실무지침서,사업관리
3208,기준가,사업/계약관리,Base Price,가용한 가격정보 중 목표가 산정의 기초가 되는 최적의 가격정보를 말한다.,방위사업청(국제가격검증팀),목표가격 관리지침,계약관리
3209,기준각,기타,Orienting Angle,사격선(방열 방향)으로부터 방향 기선에 이르는 우회 수평각. 측지 작업에 의해 산출되며 기준각에 의한 방열 시에 적용한다. ☜ OA(Orienting Angle),국방과학기술용어,국방과학기술용어사전,기타
3210,기준국,기타,Reference Station,"GPS 측량에서 정확히 좌표가 결정되어 있는 점. GPS 측량에 있어서 기선들은 기준국의 위치를 기준으로 이동국으로 계산되기 때문에 기준국은 전체 GPS 측량의 정확도를 좌우하게 된다. 기준국은 안테나 15° 상방에 장애물이나 무선 방송이 없어야 하며, 다중 경로로 인한 영향을 받지 않는 곳에 설치하여야 한다.",국방과학기술용어,국방과학기술용어사전,기타
3211,기준기준선,기타,,"기준선은 공식적으로 검토되고 합의한 규격 혹은 제품을 말하며, 이후 향후 개발을 위한 기초 역할을 한다. 이 기준선은 정부측 계약기관 검토와 승인을 요구하는 공식적인 변경통제 절차에 의해서만 변경될 수 있다. 기준선은 초기에 문서화되고 검증된 체계 수준의 요구사항과 제한사항들, 다음수준으로의 할당 혹은 지정된 사항, 그리고 계약서상의 작업기술서에 따라 승인된 모든 변경사항들이 해당된다. 일반적으로 기준선 요구사항은 체계기능검토(SFR)시에 승인된다. 특별히 기술적 기준선(Technical Baseline)은 다음과 같이 정의된다.",방위사업용어,방위사업청 용어 종합,기타
3212,기준모형,기타,Normative Model,"덜 친숙한 상황을 표현하기 위하여 친숙한 환경을 이용하는 모델. 즉 이상적으로 어떻게 실행되어야 하는가에 대한 방향성을 제시하는 모델로서 기계 펌프, 고무 호스와 물을 사용하여 심장 혈관을 묘사하는 것 등이 있다.",국방과학기술용어,국방과학기술용어사전,기타
3213,기준연도,기타,,economic escalation calculations and cost estimates시에 고정 가격 수준을 비교하기 위한 참고 기간. BASE Year의 price level index는 1.000이다.,방위사업용어,방위사업청 용어 종합,기타
3214,기준점,기타,Control Point/ Reference Point,"수평 및 수직 위치를 표시하는 2차원 지상 측량 망을 구성하기 위해 높은 정밀도로 좌표를 관측하여 놓은 점. 좁게는 세부 측량을 하기 위해 기준으로 정한 점을 의미하며, 트래버스 측량, 삼각 측량, 수준 측량 등을 통하여 좌표를 얻는다.",국방과학기술용어,국방과학기술용어사전,기타
3215,기준점 측량,기타,Control Survey / Skeleton Surveying,"사진 측량, 지형 측량 등의 표정점, 도근점 등의 기준점 좌표를 얻기 위해 실시하는 측량. 수평 위치 또는 표고의 수치를 부여받도록 기준점을 설정하는 작업이다. 다각(트래버스) 측량, 삼각 측량, 수준 측량 등을 이용하며 세부 측량의 기준이 되므로 세부 측량보다 높은 정확도를 요구한다. 골조 측량이라고도 한다. ☜ 골조 측량(骨組測量)",국방과학기술용어,국방과학기술용어사전,기타
3216,기준탄,기타,,실제 사격 환경에서 얻어지는 사격 특성치에 대한 기준을 제공할 목적으로 운영되는 탄약으로서 별도로 규정된 기준탄 평가 절차에 따라 선정된 탄약을 말한다.,국방과학기술용어,국방과학기술용어사전,기타
3217,기준포,기타,Base Piece,야전 포병 포대의 평균 사격 능력(평균 포구초속)에 가장 가까운 화포. 통상 포대 중앙에 위치하여 기록 사격 및 수정 사격을 실시한다. ☜ BP(Base Piece),국방과학기술용어,국방과학기술용어사전,기타
3218,기중기,기타,Cranes,"중화물의 적재 및 적하 작업, 기중 작업, 토사의 굴토 및 굴착 작업, 수직 굴토, 항타 및 항발 작업 등을 수행하는 건설 기계. 무한 궤도식, 트럭 탑재식, 휠식 등이 있다.",국방과학기술용어,국방과학기술용어사전,기타
3219,기지,행정공통,Base,"각종 작전이 계획되고 지원되는 주요 지점, 즉 보급기지, 통신 기지 등이다. 예를 들어, 함정 지원을 위하여 항만 시설, 급유, 급수, 동력, 보급, 정비 및 위탁 시설 등 각종 지원 시설을 보유하고 있는 항만을 말한다.",과학기술용어사전+국방부군수전력용어사전,,군사용어
3220,기지 거리 사격,기타,Known Distance Firing,화기와 표적 간의 실제 사거리를 알고 실시하는 사격. ☜ KDF(Known Distance Firing),국방과학기술용어,국방과학기술용어사전,기타
3221,기지 관제권,기타,Control Zone,항공 관제를 위해 설정된 관제탑을 중심으로 지표로부터 특정 고도까지의 공역. 통상 반경 5NM이다.,국방과학기술용어,국방과학기술용어사전,기타
3222,기지 귀환,기타,Return To Base,기지를 이륙한 항공기의 기지 복귀. 모기지 또는 타기지 귀환에 모두 사용한다. ☜ RTB(Return To Base),국방과학기술용어,국방과학기술용어사전,기타
3223,기지 방어,기타,Base Defense,전시 및 평시를 막론하고 적의 공격 또는 파괴 행위로부터 그 효과를 제압하거나 감소시켜 부대의 임무 및 기능을 최대로 발휘할 수 있도록 하기 위한 군사 방책으로서 기지 단위 독립 작전으로 수행됨.,국방과학기술용어,국방과학기술용어사전,기타
3224,기지 수리 불가능 품목,전력지원체계,Not Repairable Item at Station,"수리 작업 정도가 기지 수리 능력을 초과하는 품목 혹은 부속 대기 품목으로 신청된 부분품이 장기간 경과하여도 불출되지 않아 반납되는 품목 및 기술, 장비, 공구 등의 결핍으로 수리를 하지 못하는 품목을 말한다. 부대 수리 불가능 품목이라고도 한다.",과학기술용어사전+국방부군수전력용어사전,,일반장비
3225,기지 수리율,전력지원체계,Percent of Base Repair,"기지 수리 순환 품목에 대하여 과거 3개년 분의 기지 수리 실적을 토대로 산출되며, 정비 입고된 요수리품 중 사용 가능 재고로 환원된 품목의 비율로 나타낸다. ☞ PBR(Percent of Base Repair)",과학기술용어사전+국방부군수전력용어사전,,일반장비
3226,기지 전대,기타,Base Squadron,"공군에서, 비행단의 독립적인 작전 활동과 전투 전대(戰隊)의 임무 수행을 보조하는 임무를 맡은 부대.",국방과학기술용어,국방과학기술용어사전,기타
3227,기지 정찰반,기타,Base Reconnaissance Team,"피폭 후 화생방 요원과 폭발물 처리 요원, 시설 피해 산정 요원으로 구성되어 피폭 지역을 정찰하여 오염 여부, 피해 및 폭발물 상태를 지휘 본부에 신속하고 정확하게 보고하는 팀. 필요시 의무 요원을 포함시킬 수 있다.",국방과학기술용어,국방과학기술용어사전,기타
3228,기지 제원점,기타,Known Datum Point,조준 감사 및 포 방열을 위하여 일정한 거리 및 고도에 선정한 조준점. 나이키 표적 추적 레이더에 진북 방위각을 장입하기 위하여 기 측지되어 제원을 알고 있는 조준점.,국방과학기술용어,국방과학기술용어사전,기타
3229,기지 조달,전력지원체계,Base Procurement,중앙 보급되는 품목을 제외한 소량 소액(少量少額) 품목으로써 부대에서 조달하는 것이 적기 지원(適期支援) 및 경제성 측면에서 유리하다고 판단된 품목을 각 부대 단위로 배정된 예산으로 구매ㆍ제작 또는 수리하는 것을 말한다. 공군에서 주로 사용되는 용어이다,과학기술용어사전+국방부군수전력용어사전,,일반장비
3230,기지 통신 통제소,기타,Base Communication Control Office,기지 운용 통신 시설에 대한 통제 관리 업무를 담당하는 부서. 기지 정보 통신 대대(운영계)에 설치되어 있다. ☜ BCCO(Base Communication Control Office),국방과학기술용어,국방과학기술용어사전,기타
3231,기지국,기타,Base Station,육상 이동국과의 통신 또는 이동 중계국의 중계에 의한 통신을 하기 위하여 육상에 개설하고 이동하지 아니하는 무선국. ☜ BS(Base Station),국방과학기술용어,국방과학기술용어사전,기타
3232,기지창,행정공통,Base Depot,보급품을 조달·비축·분배하는 임무를 맡은 부대나 그 시설을 말한다.,과학기술용어사전,,군사용어
3233,기착 기지,기타,Stopover Base,항공기가 목적지까지 가는 도중에 재급유나 보급을 위하여 잠시 들르는 기지.,국방과학기술용어,국방과학기술용어사전,기타
3234,기체 냉각 원자로,기타,Gas-cooled Reactor,중성자를 적게 흡수하는 이산화탄소 따위의 기체를 냉각재로 쓰는 원자로. 압력 용기에 들어 있는 기체는 열 교환기에서 물을 증기로 바꾼다. ☜ 가스 냉각 원자로(Gas冷却原子爐),국방과학기술용어,국방과학기술용어사전,기타
3235,기체 연료 램제트,기타,Gas-fueled Ramjet,기체 연료를 사용하는 램제트. ☜ GFRJ(Gas-fueled Ramjet),국방과학기술용어,국방과학기술용어사전,기타
3236,기체 오염,기타,Gas Contamination,대기 중 증기나 액체 또는 고체 등 미세한 입자가 에어로졸 상태로 오염된 것. 바람에 의하여 넓은 지역으로 확산되는 특징 있다.,국방과학기술용어,국방과학기술용어사전,기타
3237,기체 오염 구역,기타,Vapor Hazard Area,액체 오염 지역에서 액체 작용제에 대한 제독을 마친 인원 및 장비가 공기 폐쇄실(air lock) 및 무해 구역으로 진입하기 이전에 제독을 실시하는 화생방 방호 시설의 오염 통제 구역 공간. 증기 오염 구역이라고도 한다. ☜ 증기 오염 구역(蒸氣汚染區域),국방과학기술용어,국방과학기술용어사전,기타
3238,기체 착빙,기타,Airframe Icing,"비행기 날개, 프로펠러, 방향타, 안테나 등 외기에 접하는 부분에 얼음이 어는 현상.",국방과학기술용어,국방과학기술용어사전,기타
3239,기체 폭약,기타,Fuel Air Explosive / Fuel Air Explosive Bomb,"산화에틸렌 또는 산화프로필렌을 사용한 기체 폭약. 폭풍 효과는 TNT와 비교해서 무게당 수배에 이른다. FAE 탄두가 투하되면 큰 고폭성 가스 구름이 연기 점화 장치에 의해 점화 폭발하게 되며 비교적 넓은 범위에 걸쳐 치명적 압력을 전파 부대, 차량, 항공기 등의 경목표를 파괴할 수 있다. 지뢰원 제거, 대함선 공격에도 사용 가능하며, 다련장 로켓용탄 및 헬리콥터용 클러스터 폭탄용으로 적용 방안이 연구되고 있다. ☜ FAE(Fuel Air Explosive), 기화 폭탄(氣化爆彈)",국방과학기술용어,국방과학기술용어사전,기타
3240,기체 확산법,기타,Gaseous Diffusion Method,"우라늄-235과 우라늄-238 등을 함유한 UF6(그림)는 57℃에서 기화될 수 있어서, 이 기체의 가벼운 동위원소는 무거운 동위 원소보다 더 빠른 속도로 다공성 장애물을 통과한다는 사실에 기반하고 있는 동위 원소 분리법. 우라늄 농축법의 하나인 이 방법은 대형 설비와 많은 양의 전력을 필요로 하며 중국, 프랑스, 러시아, 미국에서 사용되고 있다. ☜ 가스 확산법(Gas擴散法)",국방과학기술용어,국방과학기술용어사전,기타
3241,기초 공사,전력지원체계,Foundation Work,"구조물의 밑바닥을 튼튼하게 하기 위해 하는 공사, 즉 구조물을 지탱할 수 있도록 지면을 단단히 하는 공사를 말하며, 기초공사가 약할 경우에 중량이 지반을 무너뜨리거나 지반이 함몰되어 구조물이 침강하는 수가 있다. 그러므로 구조물의 기초작업은 충분히 지탱력을 갖고 침강되지 않도록 되어야 한다.",과학기술용어사전+국방부군수전력용어사전,,시설
3242,기초 공수,사업/계약관리,Basis Man-hour,단위 기초공수에 구축대상 작업량을 곱한 공수를 말한다.,KIMA,업무가이드북 - [pdf] 방산물자 계약 및 원가관계 법규,원가관리
3243,기초 금액,사업/계약관리,Basis Price,가격조사 또는 원가계산 방식에 의하여 산정한 금액으로서 예정가격 또는 기초예비가격 결정의 기준이 되는 가격을 말한다.,1. 방사청용어+과학기술용어사전+국방부군수전력용어사전 2. KIMA,"방위사업관리규정, 방위사업청 훈령 제188호(2012. 8. 1. 개정)",원가관리
3244,기초 발명,기타,Basic Invention,어떤 개량 발명의 기초가 된 발명. ☜ BI(Basic Invention),국방과학기술용어,국방과학기술용어사전,기타
3245,기초 연구,정책/제도,Basic Research,"핵심 기술 연구개발 사업에서 1단계에 해당되며, 핵심 기술 연구개발을 위하여 필요한 가설, 이론 또는 현상이나 관찰 가능한 사실에 관한 새로운 지식을 얻기 위해 학계에서 수행하는 이론적 또는 실험적 연구 활동을 말한다. 핵심 기술 연구개발 사업은 기초연구, 응용 연구, 시험 개발 단계로 구분하여 수행한다.",방위사업청(기술기획과),과학기술용어사전,획득기획
3246,기초 연구 단계,사업/계약관리,Fundamental Research Step,구체적인 연구 목표가 설정되지 않은 상태에서 개략적인 연구 방향을 정하여 기본 원리를 연구하는 단계를 말한다.,과학기술용어사전,,사업관리
3247,기초 예비 가격,사업/계약관리,,"1. 기초 금액을 기준으로 계약담당공무원이 복수예비가격 산정을 위하여 결정하는 가격을 말한다. 2. 경쟁계약 시 가격조사 또는 원가계산 방식에 의해 산정된 가격을 기준으로 계약관이 결정한 가격이며, 입찰등록마감 전일 인터넷에 공개하고 있다.",1. 방사청용어+KIMA+국방부군수전력용어사전+과학기술용어사전 2. 방사청용어,"국방조달 참여 길라잡이방위사업관리규정, 방위사업청 훈령 제188호(2012. 8. 1. 개정)",계약관리
3248,기총 사격,기타,Strafe,항공기에서 목표물을 비로 쓸어 내듯이 기관총으로 쏘는 일.,국방과학기술용어,국방과학기술용어사전,기타
