품명부호,품목식별지침부호,품명(한글),품명(영문),품명정의(한글),품명정의(영문)
2655,T258-K,형판지,STENCILBOARD,"실린더나 포드리니어 기계로 민드는 것으로써,기름을 균등하게 받아들일 수 있도록 황산염이나 아황산염 또는 혼합물질로 제조되어 공급된다.보통 아마인유 또는 다른 기름으로 입혀지며  운송상자를 표시하기 위한 형판을 만들 때 금속 대용품으로 사용된다.","An item, made on a cylinder or Fourdrinier machine, of sulphate, sulphite, or mixed furnish, so formed to take oil uniformly. It is ordinarily impregnated with linseed or other oil, and is used as a substitute for metal in making stencils for marking shipping cases and the like."
2659,A46000,"슬립,여자용","SLIP,WOMAN'S",성인 여자가 입는 드레스 길이의 내의이다.,An undergarment made in dress lengths. It is designed for females past the age of physical maturity.
2660,A16800,"잉크,인쇄용","INK,PRINTING","제외: ""INK, PROOF PRESS"", ""INK, DUPLICATING, LITHOGRAPHIC PROCESS"", ""KIK, LITHOGRAPHIC OFFSET, ROLLING UP BLACK""","Excludes:INK, PROOF PRESS; INK, DUPLICATING, LITHOGRAPHIC PROCESS; and INK, LITHOGRAPHIC OFFSET, ROLLING UP BLACK."
2661,A16800,"잉크,스텐실 표시용","INK,MARKING STENCIL",,
2662,T105-M,금고,SAFE,"화재,수재 또는 도난에 대하여 금전,기록물,주요서류 또는 기타 귀중한 품목들을 보호하도록 제작되고,일반적으로 상자형으로서 보강된 중금속제 금고 이것은 주로 다이얼 식 자물쇠 혹은 열쇠식 자물쇠로 잠그는 자동식 문 또는 문으로 제작된다. 중금속 봉 입물은 내열 콘크리트 충진으로 내부에 구 획이 나눠지며 고정된 금전궤도를 갖는다.","A commonly box-shaped, reinforced, heavy metal chest designed to protect money, records, important letters, or other valuable items against fire, water, or burglary. It is normally designed with a swinging door or doors secured by a combination lock or a key lock. The heavy metal enclosure may be combined with a filling of concrete to resist heat. It may have one or more interior compartments and a built-in money chest. It may be mounted on wheels. It may or may not include mounting bracket for attachment. Excludes:filing cabinets which are substantially reinforced to resist burglary, and whose design includes combination locks, bar and padlock, or similar security devices."
2663,T105-N,"문,금고실용","DOOR,VAULT",도둑과 화재를 막을 수 있는 문과 그 뼈대로서 숫자로 된 열쇠와 재잠금 장치 등이 달려있다.,"A burglar and fire resistive door(s) and frame, having combination lock and relocking device."
2664,A23900,"의자,이발용","CHAIR,BARBER",,
2665,A509W0,"절연체,전기식,냉각용","INSULATOR,ELECTRICAL,COOLING","액체의 컬럼이 들어 있도록 만든 절연관의 코일로 구성된 품목으로써 이 액체는 접지(전자관의 양극 또는 고전력 저항과 같은)에서 높은 전위의 소자를 냉각시키기 위해서 사용되며, 컬럼은 고전위 소자다.고전위 및 저전위 냉각시스템 사이의 전류 누설을 무시할 수 있을 정도로 감소시키기에 충분히 저항할 수 있는 길이를 갖는다.","An item consisting of a coil of insulating tubing for the purpose of containing a column of liquid. This liquid is used to cool an element at a high electrical potential from ground (such as the plate of an electron tube or a high wattage resistor), and the column is of such length as to provide resistance sufficient to reduce the leakage of current between the element at high potential and the low-potential cooling system to a negligible value."
2666,A23800,"조정기세트,전압용","REGULATOR SET,VOLTAGE",일정한 규정한계로 출력전압을 자동으로 유지하도록 특수하게 설계된  둘 이상의 구성품 및 품목들로써 작동 예비품을 포함하며 조절이 변압기 작용 만으로 되는 품목들은 포함되지 않는다.,Two or more components and items specifically designed to automatically maintain a voltage output within certain required limits. May include operating spares. Does not include items in which regulation is accomplished solely by transformer action.
2667,T272-J,"가리개,롤러식","SHADE,ROLLER","롤러에 설치된 천,종이,플라스틱 또는 다른 불투명천으로 된 접을 수 있는 스크린으로서,창문이나 열린 부분을 통하여 통과되는 빛을 통제하고 안에서 또는 밖에서 유지 못하도록 하는데 사용된다.","A cloth, paper, plastic or other opaque fabric flexible screen, mounted on a roller, used to regulate the light passing through a window or opening and to obstruct the view from within or without."
2668,T272-N,베니스식 블라인드,VENETIAN BLIND,"올리거나 내릴 수 있는 블라인드로써, 원하는 각도로 동시에 장치할 수있는 한칸 건너 수평으로 놓여진 다수으이 얇은 조각으로 되어있다.","A blind capable of being raised or lowered and having numerous thin slats placed horizontally one above another, which can be set simultaneously at any desired angle. It is used to regulate the light passing through a window or opening and to obstruct the view from within or without."
2669,A23900,"붓,수성도료용","BRUSH,CALCIMINE","적어도 4인치 폭의 고정 손잡이 붓으로서 주로 백색 도료용으로 만들어진 것이다. 참조:BRUSH,WHITEWASH","A fixed-handled brush at least 4 inches wide designed primarily for application of calcimine. See also BRUSH, WHITEWASH."
2670,A02000,"칼라,케이블용","COLLAR,CABLE","개구부를 통하여 통과하는 지점에 케이블축의 움직임을 제한하기 위하여 전기케이블의 둘레에 끼워지도록 설계된 품목으로써, 케이블을 다른 물체에 고정시키는  설비가 없다. 제외:BUSHING,STRAIN RELIEF,CABLE","An item designed to be affixed around an electrical cable to limit the axial movement of the cable at the point where it passes through an opening. It has no facilities for retaining the cable to another object. Excludes:BUSHING, STRAIN RELEIF, CABLE."
2671,T270-E,"기록기,시간 테이터용","RECORDER,TIME","카드, 서류 등에 시간데이터를 기록하도록 특별하게 제작되며 기계적 또는 전기적으로 작동되는 시계. 이것은 시간과 관계가 없 는 부가적인 데이터를 기록하도록 장비될  수 있으며, 카드삽입에 의하여 자동으로 또 는 인력에 의하여 작동될 수 있다. 이것은  종횡 출입 시간카드, 경과시간 임무 카드를 자동,반자동 또는 손으로 정확하게  정지시키시 위한 설비를 갖출수 있다.  정치를 위한 설비를 갖지 않는 유사한 품목에 대하여는 표시기, 시간용 (STAMP,TIME)  을 참조하라.","A mechanically or electrically operated clock which is primarily designed to imprint time data on cards, documents, and the like. It may be equipped to imprint additional data not related to time. It may be actuated manually or automatically by card insertion. It incorporates provisions for automatic, semiautomatic, or manual precise positioning of lined, and/or columned ""in and out"" time cards, ""elapsed time"" job cards, and the like. For similar items not having provisions for precise positioning, see STAMP, TIME. See also CLOCK, RECORDING, WATCHMAN'S. For instruments designed to measure the total operating time of a circuit, machine or system, see METER, TIME TOTALIZING."
2672,T270-E,"표시기,시간용","STAMP,TIME","편지나 서류에 시간을 인쇄하기 위한 기계적 또는 전기적으로 작동되는 시계. 여기에는 시간이외에 다른 자료를 추가적으로 인쇄할 수 있는 장치가 있을 수 있다. 이것은 수동으로 작동되기도 하고 찍히는 품목 넣으면 자동으로 작동되기도 한다. 이것은 표시하는 위치를 정확히 하는 장치는 없으므로 그렇게 하려면 기록계, 시간용(RECORDER TIME)을 사용한다.","A mechanically or electrically operated clock which is primarily designed to imprint time data on letters, documents, and the like. It may be equipped to imprint additional data not related to time. It may be actuated manually or automatically by insertion of the item to be stamped. It does not incorporate provisions for precise positioning of the stamp. For similar items which incorporate provisions for precise positioning of the stamp, use RECORDER, TIME."
2673,A23900,"래크,카드용","RACK,CARD","근무시간기록표, 대출기록표,도표기록표를 넣도록 만든 선반이다.","An item designed to hold time cards, loan cards, tabulating cards and the like."
2674,T211-B,"컨베이어,롤러형,중량식","CONVEYOR,ROLLER,GRAVITY","회전이 자유로운 롤러가  장치된 프레임이 있는 컨베이어로서,선적한도가 비선적 한도보다 수평이 높이 올랐을때 중력 때문에 이동하여 화물을 취급할 수 있다.",A conveyor with frame mounted rollers which are free to revolve. The items to be handled move because of the force of gravity when the loading end is raised to a level higher than that of the unloading end.
2675,T211-B,"컨베이어,휠형,중력식","CONVEYOR,WHEEL,GRAVITY","회전이 자유로운 바퀴가 장치된  프레임이 있는 컨베이어로써,선적한도가 비선적 한도보다 수평이 높이 올랐을때 중력 때문에 이동하여 화물을 취급할 수 있다.",A conveyor with frame mounted wheels which are free to revolve. The items to be handled move because of the force of gravity when the loading end is raised to a level higher than that of the unloading end.
2676,A09200,"종이,복사,사본용","PAPER,DUPLICATING,COPY",제도로부터 한개 이상의 사본을 특수한 처 리를 복사하기 위하여 제작된 종이이다.,A paper designed for a particular process of reproducing one or more copies from the original.
2677,A09200,"종이,제도용","PAPER,DRAWING","일반적으로 화학적으로 처리된 목재펄프 무명 섬유 펄프,또는 이들의 혼합물로 만들어진 종이이다. 이것은 글씨를 쓰는데 양질의 표면을 갖고,용이하게 지울수 있고,무디거나 거칠은 마무리로 된다. 제외: ""PAPER,TRACING"",""PAPER,GRAPH""","A paper generally made from chemical wood pulps, cotton fiber pulp, or mixtures of these, It has a good writing surface, good erasability, and a dull or low finish. Excludes:PAPER, TRACING; and PAPER, GRAPH."
2678,A09200,"판지,제도용","PAPERBOARD,DRAWING",강도가 중요한 특성으로 되는 종이제품으로 글쓰기에 좋은 표면과 잘 지워질 것이 요망된다.,A paper product where stiffness is an important characteristic. A good writing surface and erasability are desirable.
2679,A09200,"종이,크라프트,미가공","PAPER,KRAFT,UNTREATED",순수한 목재펄프로 만든 종이의 일종이다. 질긴 성질이 있는 반면 비교적 거칠은 종이이다.,A paper made entirely from wood pulp. It is a comparatively coarse paper noted for its strength.
2680,A09200,"종이,챠트,석판인쇄용","PAPER,CHART,LITHOGRAPHIC","무명섬유 펄프, 화학적으로 처리된 목재 펄프, 또는 이들의 결합으로 만들어진 종이이다. 이것은 인쇄하기에 양질이며 수축과 팽창이 작고, 잘 지워지고, 때에 따라선 투명지로 된다.","A paper made from cotton fiber pulp, chemical wood pulps or combinations of these. Good printing qualities, low expansion and contraction, good erasability, and in some cases, transparency are significant properties."
2681,A09200,지도지,"PAPER,MAP","무명섬유 펄프나 화학목재 펄프 또는 이들 들을 혼합하여 만든 종이이다. 마무리 작업이나 인쇄 특정,치수의 안정성,좋은 접힘  특성,그외 몇가지 경우에 높은 배습성,방수성을 갖고 곰팡이에도 강하며 빛도 반사시 키지 않고,내 마모성과 특수용도에 맞게 영구성을 지니도록 각각 따로 처리된다.","A paper made from cotton fiber pulp or chemical wood pulps or a mixture of these. Significant properties include finish, printing quality, dimensional stability, good folding properties, and in some cases high opacity. May be treated to impart high wet strength, water repellancy, mildew resistance, luminescense, abrasion resistance, and other properties pertinent to a particular use."
2682,A09200,판지,CARDBOARD,빳빳한 것이 중요한 특성인 종이 제품이다.제외: RAILROAD BOARD,A paper product in which stiffness is an important characteristic. Excludes:RAILROAD BOARD.
2683,A09200,"종이,양각,표면","PAPER,EMBOSSING,TOP",표면이 찢어지지 않고 양각무늬를 잘 견지하도록 충분한 강도를 가진 종이이다.,A paper of sufficient strength to withstand the embossing pattern without breaking the surface.
2684,A09200,"종이,색인용","PAPER,INDEX",화학적으로 처리된 목재펄프와 혹은 무명섬유로 만들어진 여러가지 형태의 빳빳한 두꺼운 종이이다.,Various types of stiff paperboards made of chemical wood pulp and/or cotton fiber.
2685,A09200,"종이,우편엽서용","PAPER,POSTAL CARD",쓰거나 인쇄를 위하여 사용되는 우편 엽서를 만들기 위한 종이이다.,Paper for making postal cards to be used for writing or printing.
2686,A09200,"종이,복사,마스터용","PAPER,DUPLICATING,MASTER","원본으로 부터 한개 이상의 사본을 특수한 처리를 복사하는데 용지로 사용되도록 제작된 종이이다. 참조: PAPER,SET,DUPLICATING,MASTER","Paper designed for use as a master in a particular process of reproducing one or more copies from the original. See also PAPER, SET, DUPLICATING, MASTER."
2687,A23900,"얼룩제거기,잉크용","ERADICATOR,INK",,
2690,A508A0,"냉동장치,기계식,시체가치장용","REFRIGERATOR,MECHANICAL,MORTUARY",미끄러져 움직이는 선반들을 갖춘 격식들로 이루어진 기계냉장식 캐비닛으로서 해부용시체저장용으로 사용된다.,"A mechanically refrigerated cabinet with compartments containing sliding shelves, used for the storage of cadavers."
2691,T272-F,"장식용받침,식탁용","MAT,PLACE",정찬시 식기밑에 보호 받침으로 사용하는  받침으로 식탁 위나 또는 식탁포 위에 사용된다.,"A piece of material used as a protector under an individual diner's service, either on a bare table surface or on a cloth covering it."
2692,T272-F,"패드,식탁용","PAD,TABLE","식탁보의 밑에 사용하는 유연한 물체로써, 탁상표면을 보호하고 방음 효과를 준다.",A pad of flexible material used under a tablecloth or table cover to provide additional protection to the table surface and as insulation against sound.
2693,T272-E,"소형깔개,직물제","DOILY,TEXTILE","레이스 따위로 짠 소형의 장식용 깔개로서 그위에 식기, 꽃병 따위를 올려 놓는 것이다. 이러한 장식적인 목적외에도 사용되고 있는 기물들로 인해서 테이블 표면이 긁힌다든가 얽은 자국이 형성되는 것을 방지하는 보호기능을 가진다.","A small, ornamental piece of woven fabric on which tableware, vases and similar objects are placed. In addition to their ornamental or decorative function, doilies protect the surface on which they are used against the abrasive action of the objects under which they are placed."
2694,T272-E,"냅킨,테이블용,직물제","NAPKIN,TABLE,TEXTILE","조그만한 천 조각으로서, 통상 식탁에서 쓰이며 입을 닦든가 손을 닦고 식사하는 사람의 옷을 보호하기 위해 사용된다.",A small piece of woven fabric generally used at a dining table for wiping the lips or fingers and for protecting the diner's clothing.
2695,T272-E,"스카프,테이블용","SCARF,TABLE","일반적으로 장식용 디자인으로 짠 직물조각으로 임시테이블, 찬장이나 화장대 위에 단독으로나 한세트로, 소형 장식냅킨과 같이 사용된다.","A piece of woven fabric, generally of ornamental design, used individually or with matching doilies as a set on occasional tables, buffets, or dressers."
2697,T272-E,식탁보,TABLECLOTH,식탁에 사용되는 그릇이 식사준비를 위하여 놓여지거나 정리 되기전에 사용되는 직물 을 짜거나 적절히 직조된 부드러운 천의 한 조각이다.,"A piece of pliable fabric, woven or otherwise constructed, used for covering a table before tableware is placed, or set, for dining."
2699,A37500,환자수송차,"AUTOMOBILE,AMBULANCE","세단형 차체의 자주형 차륜 차량으로서 응급처치, 부상자 및 환자 수송을 위한 목적으로 설계되었으며 관련장비가 탑재되어 있다. ""트럭,구급용""은 제외한다.","A self-propelled wheeled vehicle with a sedan type body designed and equipped for rendering first aid, and transporting wounded, injured or sick persons. Excludes:TRUCK,AMBULANCE; and MINE RESISTANT VEHICLE."
2700,A09200,"섬유판,견고성","FIBERBOARD,SOLID",견고한 시트 형태로 만들기 위하여 적절한 접착제로 풀칠이 된 두개 이상의 종이 박판으로 이루어진 종이판 제품이다.,A paperboard product consisting of two or more sheets of paperboard pasted together with a suitable adhesive to form a rigid sheet.
2701,T211-A,"컨베이어,벨트식","CONVEYOR,BELT",운반설비에 장치된 프레임을 이동하는 판판하거나 쐐기를 붙인 순환피대로 된  컨베이어이다.,A conveyor with a plain or cleated endless belt which moves on frame mounted carriers.
2702,A23800,레이더 지도제작소,RADAR MAPPING CENTRAL,지상기지에 실지조사 자료를 재전송하고 설치된 항공기의 자동항법시설이 포함된 레이더 도표작성에 사용되고 있는 수많은 관련 전자 세트이다.,"A number of associated electronic sets which are used for radar mapping, and which may include facilities for automatic navigation of aircraft in which installed and retransmission of mapping data to a ground installation."
2703,T277-V,"트랙터,차륜형,농업용","TRACTOR,WHEELED,AGRICULTURAL","토지경작 농기구용 부속장비가 있거나 또는 없는 자체추진 차량으로 큰 뒷바퀴, 하나 이상의 조그만 앞바퀴, 그리고 밭 고랑사이에서 사용을 용이하게 하기 위해 조절이 가능한 디딤판이 달려있다. 제외:""TRACTOR,WHEELED,WAREHOUSE"",""TRACTOR,WHEELED,INDUSTRIAL""","A self-propelled riding vehicle with or without attachments primarily used for towing agricultural attachments used in the tillage of soil. It is generally designed with large rear wheel, one or more smaller front wheels and with an adjustable tread width to facilitate its use between rows of crops. Excludes:TRACTOR,WHEELED,WAREHOUSE and TRACTOR,WHEELED,INDUSTRIAL."
2704,T277-V,"트랙터,차륜형,산업용","TRACTOR,WHEELED,INDUSTRIAL","다음과 같은 자재처리작업에 주로 사용되는부속품이 있거나 없는 자주식차량이다;연결장치의 형태에 따라 각종 정비작업,견인,토양운송 등을 작업한다. 접지면 폭은 고정되어 있다. 제외:""TRACTOR,WHEELED,WAREHOUSE"", ""TRACTOR,WHEELED,AGRICULTURAL"", ""REACTOR,WHEELED,HIGH SPEED""","A self-propelled riding vehicle with or without attachments primarily used for material handling operations; construction operations such as towing, pushing, earth moving, and the like, and various maintenance operations depending upon the type of attachment(s) used. It is designed with a nonadjustable tread width. Excludes:TRACTOR,WHEELED,WAREHOUSE; TRACTOR,WHEELED,AGRICULTURAL and TRACTOR,WHEELED,HIGH SPEED."
2705,T118-C,낚시바늘,FISHHOOK,,
2706,A31400,"카메라,영화용","CAMERA,MOTION PICTURE","무성이나 유성영화에 사용되는  사진장비로서 연속 또는 단속적인 자동 필름 급송장치로 순차적인 일련의 사진들을 제작할 수 있는 차광 암실로 되어 있다. 필름의 각 프레임이 정치될 수 있도록 짜맞추어지고  연동되며 적시성 여건을 갖추었기 때문에  각각의 프레임이 빛에 노출되는 현상이  자동으로 조절된다. 전기식 또는 스프링식 모터, 렌즈,사진이 찍힌 감아 올리는 필름틀이나 필름감개, 필름 감는 틀 등을 갖추고 있다.렌즈덮개,운반상자,끈이나 손잡이 등을  포함한다. 녹음장비,필름,삼각대 또는 세워놓는 섬광보조장비 및 외부전원공급장치 등은 제외한다.녹음장비를 갖춘 카메라는 ""카메라세트,영화용(CAMERA SET,MOTION PICTURE)""을 참조한다.","A photographic device used for taking silent and/or sound motion pictures. It consists of a light-tight chamber designed to produce a sequential series of pictures by means of a continuous or intermittent automatic film feed mechanism. This mechanism is so arranged, geared and timed that as the film for each frame is positioned, the light for each exposure is automatically controlled. It includes an electric or spring wound motor(s), taking lens(es), takeup reel or spool, and magazine(s). It may include a lens cover, carrying case, strap and/or handle. Excludes:cameras with sound recording equipment, film, tripod, or stand, accessory lighting equipment and external power supply. For cameras with sound recording equipment, see CAMERA SET,MOTION PICTURE. For digital cameras, see CAMERA SYSTEM,DIGTAL."
2707,A37500,운구차,"AUTOMOBILE,HEARSE",매장하기 위한 시체를 호송하도록 장비되고 고안된 자주식의 차륜차량이다.,A self-propelled wheeled vehicle designed and equipped to convey the deceased for burial.
2708,A37500,"버스,모터식","BUS,MOTOR",고속도로 및 도로에서 10명 이상의 승객을 수송하도록 설계된 자주식 차륜차량이다.,A self-propelled wheeled motor vehicle designed for transportation of ten or more passengers on highways and/or roads.
2710,T114-B,소각로,INCINERATOR,"쓰레기,부엌쓰레기,고체성분 물건들을 소각하기 위해 설계된 보통 단단하고 무거운 구조물로 된 로 또는 오븐이다. 제외:BURNER,RUBBISH","A furnace or oven, usually of a substantial and heavy construction, designed for the carbonizing of refuse, garbage, and solid constituents of matter. Excludes:BURNER, RUBBISH."
2711,A23900,"버너,쓰레기용","BURNER,RUBBISH","쓰레기, 낙엽, 종이나 다른 가연성 물체를 태우는데 사용되는 주로 철망구조로된 휴대용 용기이다.","A portable container, usually of wire construction, used to burn rubbish, leaves, paper and other combustible material."
2712,A500A0,"기관차,자동레일식","LOCOMOTIVE,AUTORAILER","(미국제외) 자동차용 고속도로든 열차용 철로든 수송하도록 설계된 품목으로써 접어넣을 수 있는 축에 장치된 고무타이어 바퀴와 플랜지 강철륜으로 장비되었고  페이로드 본체는 없다. 참조:RAILWAY CAR SPOTTER,SELF-PROPELLED","Self propelled machine designed for transport, either on rails as railway equipment or on the road as automotive equipment. It has rubber tyred wheels and steel flanged wheels mounted on retractable axles. It does not have payload body. see also RAILWAY CAR SPOTTER,SELF-PROPELLED. This INC was convertedfrom AEUSA to General Use on 06/15/22."
2713,T272-G,차일,AWNING,"고정되었거나 접을 수 있는 봉형발로 벽에 고정시켜 창문이나 입구에 항상 설치되며, 햇빛이나 다른 기후조건을 막기위해 사용된다.","A rigid or collapsible roof-like cover, generally attached to a wall and extended over or before a window or entrance. Used as a protection from the sun and other weather related elements."
2714,T229-C,"철도차량,탱크차용","RAILWAY CAR,TANK",액체나 가스 수송용의 하나 또는 여러개의 저장탱크로 구성된 차체의 화물운송 철도차량이다.,A railway freight car whose body consists of a tank or tanks for transporting liquids or gases.
2715,A600A0,"철도차량,측면 경사로형","RAILWAY CAR,SIDE DUMP",차량의 측면을 들어올리고 떨어뜨리거나 적재물을 부리기 위해 차체를 기울이는 공기 실린더장치를 장비한 무개 철도차량이다.,An open-top railway car equipped with an air cylinder mechanism which raises or drops the side of the car and tilts the car body to dump the contents.
2718,T229-A,"철도차량,침대차용","RAILWAY CAR,SLEEPER","객차 서비스를 위해 제작 및 장비된 철도차량으로써  위생시설,조명 및 난방장치 그리고 침대와 객차로 사용되는 열차이며  승객의 특별한 사생활을 위한 별도의 밀실이 잇을 수도 있다.  제외:RAILWAY CAR,MEDICAL  PERSONNEL,AMBULANCE TRAIN","A railway car constructed and equipped for passenger train service, having sanitary facilities, lighting and heating systems and berths which can be folded back out of the way and the car used as a coach. It may or may not have separate sections or compartments for additional privacy of the occupants. Excludes:RAILWAY CAR, MEDICAL PERSONNEL, AMBULANCE TRAIN."
2719,T229-C,"철도차량,유개형","RAILWAY CAR,BOX","옆과 뒤에 문들이 달려있는 닫혀진 차체를 가진 철도화차로서, 일반 화물운송과 특히 비바람에 보호받아야 될 화물을 적재하는데 사용된다.",A railway freight car having a closed body with side doors or side and end doors used for general freight transportation and especially for lading which must be protected from the weather.
2721,T229-C,"철도차량,무개화차형","RAILWAY CAR,FLAT","상부에 뚜껑과 차체가 없이 토대 위에 마루바닥이 깔린 화물열차이다. 제외:""RAILWAY CAR,FLAT,WELL"", ""RAILWAY CAR,FLAT,DEPPRESSED CENTER""","A railway freight car with a floor laid over the sills without any housing or body above. Excludes:RAILWAY CAR, FLAT, WELL and RAILWAY CAR, FLAT, DEPRESSED CENTER."
2722,T229-C,"철도차량,무개화차형,중앙이 움푹 들어","RAILWAY CAR,FLAT,DEPRESSED CENTER",특정품목을 적재하기 위해  필요한 공간을 제공하고자 음푹들어간 무개화차 간의 중간에 펼쳐진 마루부분을 갖추고  특수하게 건축된 무개화차 철도차량이다.,A railway flat car specially constructed with that portion of the car extending between the trucks depressed to provide necessary head room for certain classes of lading.
2723,T229-C,"철도차량,무개화차형,광물용","RAILWAY CAR,FLAT,WELL",특수화물을 위해 필요한  칸막이 공간을 제공하기 위하여 움푹들어간 측면기둥 사이에 연결된 바닥부분이 있도록  특수하게 건축된 무개화차 철도차량이다.,A railway flat car specially constructed with that portion of the floor extending between trucks depressed between the side sills to provide necessary head room for certain classes of lading.
2746,A500A0,"철도차량,승무원용","RAILWAY CAR,CABOOSE","차체가 밀폐되고,화물열차의 후미에 연결된 철도차량으로써  화물열차에 필요한 비품,도구 등을 운송하며,수송중에 있는 사무실 및 숙소로서 열차의 차장 및 승무원들을 수용한다.","A railway car with a closed body, which is coupled to the rear of freight trains for accommodation of the conductor and trainmen as office and quarters while in transit and for carrying the various stores, tools, and the like, required on freight trains."
2747,A23900,"보관함,정밀시계용","LOCKER,CHRONOMETER",선박용 크로노미터를 보관하는 기포고무로 안을 댄 몇개의 칸막이로 구분된 금속제 보관함이다.,A metal locker containing several compartments lined with foam rubber for the stowage of the ship's chronometer.
2748,A24700,"표백제,사진용","BLEACH,PHOTOGRAPHIC",용액 상태에서 질산은 영상을  은염류로 전환시키는 화학물질이다.,"A chemical substance which, when in solution, converts the silver image to a silver salt."
2749,A24700,"정화용액,사진용","CLEARING BATH,PHOTOGRAPHIC",영상이나 전색제를 변경하지 않고  음화나 인화지에서 새조나 얼룩을 용액  상태에서 제거하는 화학물질이다.,"A chemical substance which when in solution, removes dye or stain from negatives or prints without altering the image or base."
2750,A24700,"건조제,사진용","DRYING AGENT,PHOTOGRAPHIC","화학물질로써 사진 필름,감광,판 및 인화지의 건조를 촉진시키는데 쓴다. 때때로 경화제가 첨가되어 경화 및 건조작업을 함께 처리할 수 있도록 한다.","A chemical substance used to accelerate the drying of photographic film, plates, or prints. SOMETIMES A HARDENER IS ADDED TO THE DRYING AGENT TO COMBINE THE DRYING AND HARDENING PROCESSES."
2751,A24700,"현상정착조,사진용","FIXING BATH,PHOTOGRAPHIC",현상과정으로부터 현상 방해물질인 염분의 잔존에 의하여 은상에 상처를 주지 않도록 정착용 용액의 형태를 하고 있는 화학물질이다. X-선 필름 현상용 정착제는 제외된다.,"A chemical substance which forms a fixing bath solution to prevent injury to the silver image by the undeveloped sensitive salts left over from the developing process. Does not include FIXER, X-RAY FILM PROCESSING."
2752,A24700,"경화제,사진용","HARDENER,PHOTOGRAPHIC","온도가 섭씨 21.11도 이상인 곳에서 필름, 감광판이나 인화지를 현상하는데  일반적으로 사용하는 화학물질로써 목적은 팽창이나 유연성을 방지하도록 감광 유제의 제라틴 경화하는 것이다.","A chemical substance which is generally used in processing film, plates, or prints where the temperature is above 70 degrees Fahrenheit (21.11 degrees Celcius). Its purpose is to harden the gelatin of the emulsion to prevent swelling or softening."
2753,A24700,"하이포 제거제,사진용","HYPO ELIMINATOR,PHOTOGRAPHIC",하이포 제거용액을 만드는 화학약품으로써 감광유제에 남아있는 정착용액제 또는 하이포를 제거하는데 사용된다.,A chemical substance which forms a hypo eliminator solution. It is used to remove the fixing bath agent or hypo remaining on the emulsion.
2757,A24700,"증감제,사진용","INTENSIFIER,PHOTOGRAPHIC",현상사진 영상의 농도와 명암대조를 증대시키는데 사용되는 화학물질이다.,A chemical substance used to increase the density and contrast of a processed photographic image.
2759,A24700,"광택제,페로타이프,사진용","POLISH,FERROTYPE,PHOTOGRAPHIC",화학물질로 사진 인쇄를 건조하기 위하여  압착하는데 사용되는 에나멜을 입히던가 또는 크로미움을 입힌 금속판 또는 드럼(DRUM)의 표면을 깨끗하게 닦고 사용한다.,A chemical substance used to clean and polish the surface of enameled or chromium-plated metal sheets or drums used to press (squeegee) photographic prints for drying.
2761,A24700,"감력제,사진화학 약품용","REDUCER,PHOTOGRAPHIC CHEMICAL",질산은 영상의 농도를 감소하도록 현상  과정에서 사용되는 화학물질이다.,A chemical substance used in photographic processing to reduce the density of the silver image.
2762,A24700,"보충제,현상액,사진용","REPLENISHER,DEVELOPER,PHOTOGRAPHIC","현상액을 본래의 작용농도와 량으로 복귀시키는데 사용되는 화학약품이다. 이것은 ""보충제,X-선 필름현상용(REPLENISHER,X-RAY FILM PROCESSING)""를 포함한다.","A chemical used to reactivate a processing solution to its original working strength and volume. It does not include REPLENISHER, X-RAY FILM PROCESSING."
2763,A24700,"현상 정지욕액,사진용","STOP BATH,PHOTOGRAPHIC","현상액을 중화시키고 현상을 즉시 정지하도록 하기 위해,현상후 및 정착전에 필름이나 인화지를 넣는 화학용액이다.","A chemical solution in which film and/or paper is placed following developement and preceding fixing, to neutralize the developer and stop development immediately."
2765,A24700,"세척첨가제,사진용","WASH ADDITIVE,PHOTOGRAPHIC",보통 화학성분의 농축액이며 세척용액에 첨가하여 감광유제 또는 인화지 섬유질에 대 한 차아황산 소오다의 친화력을 감소시킴으로서 노출된 사진 필름 또는 인화지의 세척속도를 증가시킨다.,"A concentrate of nonspecific chemical composition formulated to be added to the wash solution to speed up the washing of exposed photographic film or paper, by reducing the sodium hyposulphite affinity for emulsions or paper fiber."
2766,T229-A,"철도차량,자재운반 작업차용","RAILWAY CAR,PUSH","정비전동차 또는 정비전동차가 이끄는 열차에 연결되는 중량 또는 부피가 큰 선로자재,도구 및 작업부들을 운송하는데 사용되는 4륜철도 작업차량이다.",A four-wheeled railway work car used to transport heavy or bulky track materials or tools by manual pushing.
2767,A600A0,"철도차량,냉동화차용","RAILWAY CAR,REFRIGERATOR","유개화차형의 특수 제작된 철도 화물차량으로써 운송 중 냉동이 필요한 물품을 수송하기 위해 차체가 단열되어 있으며,녹은 얼음이나 바닷물의 배수를 위해 둘 이상의 벙커나 바스켓과 알맞은 도구들로 장비되었거나,순환식 소금물 냉각장치가 장비되어 있다.","A specially constructed railway freight car of the box car type with an insulated body, for carrying commodities that need icing in transit, equipped with two or more ice bunkers or baskets and suitable means for draining off melted ice or briny water; or with a circulating brine cooling system."
